age,gender,music_style,movie_genre,motivation,fav_scenario,fav_place,transport,open_closed_spaces,classical_new_places,fast_slow_trip,more_short_less_long_trip,alone_company,ibirapuera,masp,jadim_pref,eataly,mirante,terraco_italia,merc_munic,vinte_cinco_marco,seu_quintal,liberdade,la_guapa,beco_batman,omalleys,av_paul,submitted,token
23,Mulher,R&B,Comédia,Sair da rotina/conhecer nova cultura,Cidade,Restaurantes típicos,Transporte Público,Lugar ao ar livre,Conhecer lugares clássicos/famosos,Viagem com ritmo acelerado,Várias viagens porém mais curtas,Viajar acompanhado,5,3,3,3,4,5,5,5,5,5,5,5,4,5,5/10/2021 21:05:35,6txmlrs31qqt0t426txmlr2pyg9g49vh
24,Homem,Rock,Ação,Sair da rotina/conhecer nova cultura,Cidade,Parques,Carro Alugado,Lugar ao ar livre,Conhecer lugares clássicos/famosos,Viagem com ritmo acelerado,Várias viagens porém mais curtas,Viajar acompanhado,4,2,5,4,5,5,5,2,3,5,5,5,2,5,5/10/2021 29:12:22,c38qrh7fctunjjddo9id50c38qmfz4xg
21,Mulher,Pop,Comédia,Sair da rotina/conhecer nova cultura,Cidade,Lojas/shoppings/centros comercias,Carro Alugado,Lugar ao ar livre,Conhecer lugares clássicos/famosos,Viagem com ritmo mais calmo,Várias viagens porém mais curtas,Viajar acompanhado,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5/10/2021 21:14:13,5n12b8bdv1z60ejmxhf5n124s9n493aa
24,Mulher,Forró/Sertanejo,Romance,Sair da rotina/conhecer nova cultura,Praia,Parques,Táxi/Uber/99,Lugar ao ar livre,Conhecer lugares clássicos/famosos,Viagem com ritmo mais calmo,Várias viagens porém mais curtas,Viajar acompanhado,4,4,3,5,4,5,5,5,5,5,5,5,5,5,5/10/2021 21:14:56,94f1davfkih7aj6qj94f1d2ky0i5saax
26,Homem,Forró/Sertanejo,Ação,Sair da rotina/conhecer nova cultura,Praia,Restaurantes típicos,Táxi/Uber/99,Lugar ao ar livre,Conhecer lugares clássicos/famosos,Viagem com ritmo acelerado,Várias viagens porém mais curtas,Viajar acompanhado,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5/10/2021 27:17:13,hjudsqq0buuqyhtdhjudf98hxowppej4
28,Homem,Rock,Ação,Descansar,Campo,Trilhas,Táxi/Uber/99,Lugar ao ar livre,Conhecer novos lugares/fora do comum,Viagem com ritmo mais calmo,Poucas viagens porém mais longas,Viajar acompanhado,3,1,5,5,5,5,4,1,5,4,5,1,2,1,5/10/2021 21:21:44,o096eabusj1gamvt7uho096eabimxy8r
24,Mulher,Pop,Comédia,Sair da rotina/conhecer nova cultura,Cidade,Lojas/shoppings/centros comercias,Carro Alugado,Lugar ao ar livre,Conhecer novos lugares/fora do comum,Viagem com ritmo acelerado,Várias viagens porém mais curtas,Viajar acompanhado,5,5,4,5,4,5,5,5,4,5,4,4,4,5,5/10/2021 21:25:56,1z8lb4wo4f06n1z8rj53iyq70i0swr6y
23,Homem,Rock,Ação,Luxo e conforto,Cidade,Museus,Carro Alugado,Lugar ao ar livre,Conhecer lugares clássicos/famosos,Viagem com ritmo mais calmo,Várias viagens porém mais curtas,Viajar acompanhado,3,5,3,5,4,5,3,3,4,4,4,4,5,4,5/10/2021 21:26:30,vs3p2at0qqrne0auk2vs3p2oo113gxpj
23,Homem,Rock,Ação,Descansar,Montanha,Restaurantes típicos,Carro Alugado,Lugar ao ar livre,Conhecer novos lugares/fora do comum,Viagem com ritmo mais calmo,Várias viagens porém mais curtas,Viajar acompanhado,4,3,4,5,4,4,4,3,4,4,3,3,5,3,5/10/2021 21:26:59,j9wv1rruxbyyvtd1jqlf20j9wv1278ka
29,Homem,Rock,Suspense,Sair da rotina/conhecer nova cultura,Praia,Parques,Carro Alugado,Lugar ao ar livre,Conhecer lugares clássicos/famosos,Viagem com ritmo mais calmo,Poucas viagens porém mais longas,Viajar acompanhado,5,4,5,3,3,3,3,4,5,4,3,4,4,4,5/10/2021 21:27:05,ezdtcl0uez9brfsckyfezdtlm8rchi3p
21,Homem,Rock,Aventura,Sair da rotina/conhecer nova cultura,Campo,Museus,Carro Alugado,Lugar ao ar livre,Conhecer lugares clássicos/famosos,Viagem com ritmo mais calmo,Poucas viagens porém mais longas,Viajar acompanhado,2,5,4,3,5,3,3,2,3,5,3,4,5,3,5/10/2021 21:27:34,wdq1u10azr7oiyyyzhs04wdq1ux4j3zi
24,Homem,Rock,Ação,Sair da rotina/conhecer nova cultura,Cidade,Parques,Táxi/Uber/99,Lugar ao ar livre,Conhecer novos lugares/fora do comum,Viagem com ritmo mais calmo,Poucas viagens porém mais longas,Viajar acompanhado,3,2,3,4,3,4,4,4,4,4,4,4,4,3,5/10/2021 21:29:33,c0ewzatrhnb394e3l14oc0ewzdwnjd21
24,Homem,MPB,Suspense,Sair da rotina/conhecer nova cultura,Cidade,Museus,Transporte Público,Lugar ao ar livre,Conhecer novos lugares/fora do comum,Viagem com ritmo mais calmo,Poucas viagens porém mais longas,Viajar acompanhado,5,5,4,3,5,2,4,1,4,4,4,3,1,3,5/10/2021 21:31:08,u94lf3kz3enb5hzezhz3hu94lf3kycth
24,Homem,Pop,Aventura,Sair da rotina/conhecer nova cultura,Cidade,Restaurantes típicos,Táxi/Uber/99,Lugar ao ar livre,Conhecer lugares clássicos/famosos,Viagem com ritmo mais calmo,Poucas viagens porém mais longas,Viajar acompanhado,5,5,5,5,3,5,5,5,4,4,5,3,1,3,5/10/2021 21:36:38,eykqdpa9wj6y7iuiw2w4ceykqdlbyyd0
22,Mulher,Rock,Drama,Sair da rotina/conhecer nova cultura,Cidade,Restaurantes típicos,Carro Alugado,Lugar ao ar livre,Conhecer lugares clássicos/famosos,Viagem com ritmo mais calmo,Poucas viagens porém mais longas,Viajar acompanhado,4,4,5,5,5,5,4,5,5,5,5,4,5,5,5/10/2021 21:39:19,26jovxz3lhhpytnkps3tbx26j3ehb7pd
